
[00:00:00.000 --> 00:00:07.280]  大家好,我是昇腾CANN生态的郭宜鹏
[00:43:14.020 --> 00:43:15.020]  我们下面有一个同学答对了啊
[00:43:15.020 --> 00:43:16.020]  我们下面有一个同学答对了啊
[00:43:16.020 --> 00:43:17.020]  我们下面有一个同学答对了啊
[00:43:17.020 --> 00:43:18.020]  我们下面有一个同学答对了啊
[00:43:18.020 --> 00:43:21.020]  他的ID是喉颜松
[00:43:21.020 --> 00:43:22.020]  我发音不一定对啊
[00:43:22.020 --> 00:43:23.020]  当然我发音不一定对啊
[00:43:23.020 --> 00:43:24.020]  音调不一定对啊
[00:43:24.020 --> 00:43:25.020]  这位同学是我们第一个答对的
[00:43:25.020 --> 00:43:26.020]  那这位同学是我们第一个答对的
[00:43:26.020 --> 00:43:28.020]  可以扫描我们这个屏幕上的2A码
[00:43:28.020 --> 00:43:38.020]  然后添加升等小助手来领取奖品
[00:43:38.020 --> 00:43:41.020]  那我们下面就给大家来CANN一个例子啊
[00:43:41.020 --> 00:43:42.020]  啊
[00:43:42.020 --> 00:43:45.020]  这块其实就是我们相当于把优化点二和三呢
[00:43:45.020 --> 00:43:48.020]  做一个结合来实现我们作为这个高性能的
[00:43:48.020 --> 00:43:49.020]  呃
[00:43:49.020 --> 00:43:50.020]  麦他帽矩阵的一个实现
[00:43:50.020 --> 00:43:52.020]  那这块就是我们一个性能
[00:43:52.020 --> 00:43:54.020]  高性能编程的一个案例
[00:43:54.020 --> 00:43:55.020]  嗯
[00:43:55.020 --> 00:43:56.020]  那首先呢
[00:43:56.020 --> 00:43:57.020]  我们在这个呃
[00:43:57.020 --> 00:43:59.020]  先是给这个任务去做一个整体的分合
[00:43:59.020 --> 00:44:00.020]  然后
[00:44:04.020 --> 00:44:05.020]  我们呢
[00:44:05.020 --> 00:44:07.020]  就是以C矩阵
[00:44:07.020 --> 00:44:08.020]  C矩阵为基准
[00:44:08.020 --> 00:44:09.020]  去做这个分合
[00:44:09.020 --> 00:44:10.020]  然后呢
[00:44:10.020 --> 00:44:11.020]  先按照
[00:44:11.020 --> 00:44:12.020]  我们一个大小
[00:44:12.020 --> 00:44:14.020]  分成很多个这个小的Block
[00:44:14.020 --> 00:44:15.020]  然后呢
[00:44:15.020 --> 00:44:16.020]  对每个小Block呢
[00:44:16.020 --> 00:44:17.020]  我们大家可以做一个编号
[00:44:17.020 --> 00:44:18.020]  然后呢
[00:44:18.020 --> 00:44:19.020]  根据这些编号呢
[00:44:19.020 --> 00:44:22.020]  给我们的每个逻辑盒去分配任务
[00:44:22.020 --> 00:44:24.020]  然后这个
[00:44:24.020 --> 00:44:25.020]  这些小Block呢
[00:44:25.020 --> 00:44:27.020]  我们又以这个八成八的方式
[00:44:27.020 --> 00:44:29.020]  来组成这个大Block
[00:44:29.020 --> 00:44:30.020]  然后呢
[00:44:30.020 --> 00:44:31.020]  这样的话
[00:44:31.020 --> 00:44:32.020]  我们对大Block的执行呢
[00:44:32.020 --> 00:44:33.020]  是很优先
[00:44:33.020 --> 00:44:35.020]  但在每个八成八内部呢
[00:44:35.020 --> 00:44:37.020]  我们是通过一个对角线的矩阵
[00:44:37.020 --> 00:44:38.020]  来做一个排布的
[00:44:38.020 --> 00:44:40.020]  那其实这块我们可以CANN到八成八的
[00:44:40.020 --> 00:44:41.020]  这个
[00:44:41.020 --> 00:44:42.020]  这个
[00:44:42.020 --> 00:44:43.020]  凑一块这个思想呢
[00:44:43.020 --> 00:44:46.020]  是跟这一页这个有关
[00:44:46.020 --> 00:44:47.020]  然后下面对角线分配呢
[00:44:47.020 --> 00:44:48.020]  就是这一页的内容
[00:44:48.020 --> 00:44:52.020]  那这块我们可能会有问题
[00:44:52.020 --> 00:44:54.020]  为什么是八成八这个数
[00:44:54.020 --> 00:44:56.020]  因为上一个提到
[00:44:56.020 --> 00:44:57.020]  这个
[00:44:57.020 --> 00:44:58.020]  我们这个trat呢
[00:44:58.020 --> 00:45:00.020]  它的一个核心就是对这些
[00:45:00.020 --> 00:45:03.020]  关键的这个参数值呢
[00:45:03.020 --> 00:45:04.020]  进行个调用
[00:45:04.020 --> 00:45:05.020]  所以这个八成八呢
[00:45:05.020 --> 00:45:08.020]  是我们用autotune来调出来的一个数据
[00:45:08.020 --> 00:45:12.020]  因为可以别的曲子也可能会有更优秀的这个性能表现
[00:45:12.020 --> 00:45:19.020]  这块大家就可以通过我们的autotune功能来去做一个多个曲子的这样一个尝试调用
[00:45:19.020 --> 00:45:24.020]  那这块我们明确了我们这个metable实现了之后呢
[00:45:24.020 --> 00:45:30.020]  我们就来CANN我们这个具体是怎么实现一个这么写法的一个矩阵的一个kernel
[00:45:30.020 --> 00:45:33.020]  主要是在外部呢
[00:45:33.020 --> 00:45:36.020]  我们外部先给它去做一个处置画
[00:45:36.020 --> 00:45:39.020]  然后呢给我们的这个小块
[00:45:39.020 --> 00:45:42.020]  是它的一个三维的一个size
[00:45:42.020 --> 00:45:44.020]  因为像我们这个C的话
[00:45:44.020 --> 00:45:46.020]  C就是m*n
[00:45:46.020 --> 00:45:49.020]  然后A和B分别就是mk还有kn
[00:45:49.020 --> 00:45:53.020]  那这块我们为什么要设置这种26128呢
[00:45:53.020 --> 00:45:55.020]  是因为gm仿存的时候呢
[00:45:55.020 --> 00:45:57.020]  我们如果能做到512B的对积
[00:45:57.020 --> 00:46:00.020]  然后可以最有效的发挥我们带宽的这个效率
[00:46:00.020 --> 00:46:01.020]  那当然这几个值
[00:46:01.020 --> 00:46:05.020]  其实大家也是可以通过这个autotune来做一个调优的
[00:46:05.020 --> 00:46:08.020]  然后前面我们也提到过
[00:46:08.020 --> 00:46:09.020]  我们本身呢
[00:46:09.020 --> 00:46:14.020]  相当于说我们给所有的这个一整个矩阵的计算呢
[00:46:14.020 --> 00:46:16.020]  给分成了这些小块
[00:46:16.020 --> 00:46:17.020]  那这些小块呢
[00:46:17.020 --> 00:46:20.020]  那我们在整个就是现在的矩阵里呢
[00:46:20.020 --> 00:46:22.020]  给大家做了一个统一的
[00:46:22.020 --> 00:46:23.020]  就假设哈
[00:46:23.020 --> 00:46:26.020]  假设我们对它有一个统一的一个编号
[00:46:26.020 --> 00:46:27.020]  那这块呢
[00:46:27.020 --> 00:46:30.020]  编号的总数其实就是我们这个
[00:46:30.020 --> 00:46:32.020]  这个non-Blocks
[00:46:32.020 --> 00:46:34.020]  其實是non-plotsm和n*一块
[00:46:34.020 --> 00:46:36.020]  这个就是我们
[00:46:36.020 --> 00:46:37.020]  就是我们
[00:46:37.020 --> 00:46:38.020]  到底对C
[00:46:38.020 --> 00:46:40.020]  总共分成多少个小的Block
[00:46:40.020 --> 00:46:43.020]  那在知道这个之后呢
[00:46:43.020 --> 00:46:46.020]  我们其实就通过我们这个pid的方式
[00:46:46.020 --> 00:46:48.020]  来把我们这个
[00:46:48.020 --> 00:46:49.020]  每个逻辑核
[00:46:49.020 --> 00:46:50.020]  它要计算的
[00:46:50.020 --> 00:46:51.020]  是哪些块编号
[00:46:51.020 --> 00:46:53.020]  来做一个分散开
[00:46:53.020 --> 00:46:55.020]  比如说我们0号核
[00:46:55.020 --> 00:46:56.020]  那我不会说
[00:46:56.020 --> 00:46:57.020]  比如说
[00:46:57.020 --> 00:47:01.020]  第0到100个Block的都交给我们0号核来做
[00:47:01.020 --> 00:47:05.020]  然后这个100到200分给1号核来做
[00:47:05.020 --> 00:47:06.020]  这个不会
[00:47:06.020 --> 00:47:09.020]  因为我们还是通过pid的方式
[00:47:09.020 --> 00:47:12.020]  我们每个的逻辑核的起点呢
[00:47:12.020 --> 00:47:13.020]  是自己的pid编号
[00:47:13.020 --> 00:47:14.020]  然后呢
[00:47:14.020 --> 00:47:18.020]  它的这个处理的块的之间的不长
[00:47:18.020 --> 00:47:21.020]  是我们的这个核数的总数
[00:47:21.020 --> 00:47:23.020]  也就是我们做的这个平行的
[00:47:23.020 --> 00:47:25.020]  这个硅的设置这个平行数
[00:47:25.020 --> 00:47:28.020]  那这个数通常是跟我们这个物理核
[00:47:28.020 --> 00:47:30.020]  其实是一样的
[00:47:30.020 --> 00:47:31.020]  所以这个代表就是说
[00:47:31.020 --> 00:47:33.020]  相当于说我的0号核
[00:47:33.020 --> 00:47:34.020]  因为这块我们
[00:47:34.020 --> 00:47:35.020]  假设我们给他这个num core
[00:47:35.020 --> 00:47:36.020]  设成40
[00:47:36.020 --> 00:47:38.020]  那我们的0号核处理的就是
[00:47:38.020 --> 00:47:39.020]  0
[00:47:39.020 --> 00:47:40.020]  40
[00:47:40.020 --> 00:47:41.020]  80
[00:47:41.020 --> 00:47:42.020]  然后这些小块的任务
[00:47:42.020 --> 00:47:44.020]  然后最后指导说这个
[00:47:44.020 --> 00:47:45.020]  所有的块都未做完
[00:47:45.020 --> 00:47:47.020]  那1号核就是
[00:47:47.020 --> 00:47:48.020]  1
[00:47:48.020 --> 00:47:48.020]  41
[00:47:48.020 --> 00:47:49.020]  81
[00:47:49.020 --> 00:47:50.020]  这些
[00:47:50.020 --> 00:47:51.020]  然后呢
[00:47:51.020 --> 00:47:54.020]  下边就给大家CANN一下这个
[00:47:54.020 --> 00:47:56.020]  这里边计算里的
[00:47:56.020 --> 00:47:58.020]  代表的是算的什么东西
[00:47:58.020 --> 00:48:00.020]  像之前我们给大家提到
[00:48:00.020 --> 00:48:01.020]  我们想
[00:48:01.020 --> 00:48:03.020]  我们本身已经给这个
[00:48:03.020 --> 00:48:05.020]  小块去做了任务
[00:48:05.020 --> 00:48:06.020]  那接下来就是
[00:48:06.020 --> 00:48:08.020]  轮到去做这个
[00:48:08.020 --> 00:48:10.020]  小块
[00:48:15.020 --> 00:48:17.020]  刚才有同学问就是
[00:48:17.020 --> 00:48:19.020]  我们的数据类型事故
[00:48:19.020 --> 00:48:20.020]  支持呢
[00:48:20.020 --> 00:48:21.020]  这部分其实我们在那个
[00:48:21.020 --> 00:48:22.020]  开源仓的有一个文档
[00:48:22.020 --> 00:48:23.020]  来给大家
[00:48:23.020 --> 00:48:25.020]  来展示说我们这个接口
[00:48:25.020 --> 00:48:27.020]  有支持哪些这个API的
[00:48:27.020 --> 00:48:28.020]  这个数据类型
[00:48:28.020 --> 00:48:29.020]  然后后边呢
[00:48:29.020 --> 00:48:31.020]  也会给大家再这个提供
[00:48:31.020 --> 00:48:32.020]  另外
[00:48:32.020 --> 00:48:34.020]  就是额外的这个文档里的信息
[00:48:34.020 --> 00:48:35.020]  来告诉大家就是说
[00:48:35.020 --> 00:48:37.020]  哪些接口的类型
[00:48:37.020 --> 00:48:38.020]  是可以通过我们的
[00:48:38.020 --> 00:48:39.020]  Vetor和Cube
[00:48:39.020 --> 00:48:41.020]  来做这个高效运行的
[00:48:41.020 --> 00:48:42.020]  所以这块大家可以CANN一下
[00:48:42.020 --> 00:48:43.020]  我们后边的文档
[00:48:43.020 --> 00:48:44.020]  就在我们开源仓里边
[00:48:44.020 --> 00:48:45.020]  大家就可以访问到
[00:48:45.020 --> 00:48:48.020]  然后就讲这个例子
[00:48:48.020 --> 00:48:50.020]  然后这个例子里呢
[00:48:50.020 --> 00:48:52.020]  我们在本身已经知道了
[00:48:52.020 --> 00:48:54.020]  每个核
[00:48:54.020 --> 00:48:55.020]  包括处理的那些Block的编号
[00:48:55.020 --> 00:48:56.020]  是多少之后
[00:48:56.020 --> 00:48:57.020]  我们接下来要做的就是
[00:48:57.020 --> 00:48:59.020]  我们对于我们
[00:48:59.020 --> 00:49:00.020]  刚才要处理的这个
[00:49:00.020 --> 00:49:01.020]  这个小Block呢
[00:49:01.020 --> 00:49:02.020]  我们要算出来
[00:49:02.020 --> 00:49:04.020]  它在整个局劲里的
[00:49:04.020 --> 00:49:05.020]  一个具体的位置
[00:49:05.020 --> 00:49:07.020]  因为我们编号是那种
[00:49:07.020 --> 00:49:08.020]  先对角线
[00:49:08.020 --> 00:49:10.020]  再航游圈的这么一个排法嘛
[00:49:10.020 --> 00:49:12.020]  所以从这个对角线
[00:49:12.020 --> 00:49:13.020]  这个Block的ID
[00:49:13.020 --> 00:49:14.020]  到找到说
[00:49:14.020 --> 00:49:16.020]  我们在这个整个核内的
[00:49:16.020 --> 00:49:17.020]  这个航核列
[00:49:17.020 --> 00:49:20.020]  是需要一些比较复杂的计算的
[00:49:20.020 --> 00:49:21.020]  所以这里呢
[00:49:21.020 --> 00:49:22.020]  我们首先是
[00:49:22.020 --> 00:49:23.020]  算这几个东西
[00:49:23.020 --> 00:49:25.020]  一个是我们在大Block方向
[00:49:25.020 --> 00:49:27.020]  上的这个m的长度
[00:49:27.020 --> 00:49:28.020]  就这块呢
[00:49:28.020 --> 00:49:30.020]  我们第一步是先判断出来
[00:49:30.020 --> 00:49:32.020]  我们这个小Block
[00:49:32.020 --> 00:49:34.020]  它是在哪个大Block里面
[00:49:34.020 --> 00:49:37.020]  而且是不是这些尾块的大Block
[00:49:37.020 --> 00:49:39.020]  那这块呢
[00:49:39.020 --> 00:49:40.020]  我们很明显就是说
[00:49:40.020 --> 00:49:42.020]  如果是前面的完整的部分
[00:49:42.020 --> 00:49:44.020]  那它的这个m方向的长度
[00:49:44.020 --> 00:49:46.020]  就是我们之前设置的是这个8
[00:49:46.020 --> 00:49:47.020]  那如果说
[00:49:47.020 --> 00:49:48.020]  不是这个前面完整的
[00:49:48.020 --> 00:49:49.020]  它就是这个余数
[00:49:49.020 --> 00:49:51.020]  那对这块的做法呢
[00:49:51.020 --> 00:49:52.020]  其实就是说
[00:49:52.020 --> 00:49:53.020]  我们呢
[00:49:53.020 --> 00:49:55.020]  要算出来这个
[00:49:55.020 --> 00:49:56.020]  一个m
[00:49:56.020 --> 00:49:58.020]  就是所有的大Block的
[00:49:58.020 --> 00:49:59.020]  像这块
[00:49:59.020 --> 00:50:00.020]  我们先做一个整处
[00:50:00.020 --> 00:50:01.020]  再乘回去的话
[00:50:01.020 --> 00:50:02.020]  那其实先说
[00:50:02.020 --> 00:50:04.020]  需要这个尾块的余数
[00:50:04.020 --> 00:50:06.020]  然后再乘完这个
[00:50:06.020 --> 00:50:08.020]  Blockn的这个长度的话
[00:50:08.020 --> 00:50:09.020]  也就是说
[00:50:09.020 --> 00:50:10.020]  把这个红色这一块
[00:50:10.020 --> 00:50:11.020]  完整的m
[00:50:11.020 --> 00:50:12.020]  和所有的n
[00:50:12.020 --> 00:50:13.020]  的一个成绩
[00:50:13.020 --> 00:50:15.020]  把这个数算出来
[00:50:15.020 --> 00:50:16.020]  那像我们这个分法
[00:50:16.020 --> 00:50:17.020]  就有个特点
[00:50:17.020 --> 00:50:17.020]  就是说
[00:50:17.020 --> 00:50:21.020]  我们每这段所有的id的
[00:50:21.020 --> 00:50:23.020]  右下角的这个数
[00:50:23.020 --> 00:50:26.020]  它会是前面这些
[00:50:26.020 --> 00:50:29.020]  这段数据里的最大的这个id
[00:50:29.020 --> 00:50:31.020]  也就是说我们的这个Blockid呢
[00:50:31.020 --> 00:50:33.020]  只要比这个乘出来这个
[00:50:33.020 --> 00:50:34.020]  右下角这个数大
[00:50:34.020 --> 00:50:36.020]  那它就代表它是在尾块
[00:50:36.020 --> 00:50:38.020]  它如果比这个数小
[00:50:38.020 --> 00:50:40.020]  那它m方向就是一个整块
[00:50:40.020 --> 00:50:42.020]  然后呢
[00:50:42.020 --> 00:50:43.020]  也就是说算完我们这个
[00:50:43.020 --> 00:50:45.020]  m方向的这个长度之后
[00:50:45.020 --> 00:50:46.020]  我们就可以算出来
[00:50:46.020 --> 00:50:47.020]  这个
[00:50:47.020 --> 00:50:49.020]  还有我们这个
[00:50:49.020 --> 00:50:50.020]  当前
[00:50:50.020 --> 00:50:51.020]  假设这个
[00:50:51.020 --> 00:50:52.020]  这个
[00:50:52.020 --> 00:50:53.020]  m方向完整的话
[00:50:53.020 --> 00:50:57.020]  我们的这个行的这个整数
[00:50:57.020 --> 00:50:58.020]  然后通过它呢
[00:50:58.020 --> 00:51:00.020]  我们再往下
[00:51:00.020 --> 00:51:01.020]  就可以去进一步计算
[00:51:01.020 --> 00:51:04.020]  我们这个double在n方向的一个长度
[00:51:07.020 --> 00:51:08.020]  那这块呢
[00:51:08.020 --> 00:51:10.020]  我们在前面的这个成绩呢
[00:51:10.020 --> 00:51:11.020]  它算的就是我们的
[00:51:11.020 --> 00:51:13.020]  就是n取之后
[00:51:13.020 --> 00:51:15.020]  比如说这样一个块
[00:51:15.020 --> 00:51:16.020]  或者说
[00:51:16.020 --> 00:51:17.020]  m的围块里的这么一个块
[00:51:17.020 --> 00:51:19.020]  因为我们需要把我们的这个
[00:51:19.020 --> 00:51:21.020]  大块的长度呢
[00:51:21.020 --> 00:51:23.020]  去处理这个一个小块
[00:51:23.020 --> 00:51:24.020]  来判断说
[00:51:24.020 --> 00:51:25.020]  它有没有
[00:51:25.020 --> 00:51:27.020]  就是说把前方整数的
[00:51:27.020 --> 00:51:28.020]  这部分呢
[00:51:28.020 --> 00:51:29.020]  也就是灰的这部分
[00:51:29.020 --> 00:51:30.020]  给大家算出来
[00:51:30.020 --> 00:51:31.020]  然后
[00:51:31.020 --> 00:51:32.020]  就原理也是一样的
[00:51:32.020 --> 00:51:33.020]  因为这个灰的这一部分呢
[00:51:33.020 --> 00:51:34.020]  它的
[00:51:34.020 --> 00:51:35.020]  右下角
[00:51:35.020 --> 00:51:37.020]  会是它这个Block size
[00:51:37.020 --> 00:51:38.020]  最高的
[00:51:38.020 --> 00:51:40.020]  不是Block size
[00:51:40.020 --> 00:51:41.020]  就是它这个编号最大的
[00:51:41.020 --> 00:51:42.020]  一个Block
[00:51:42.020 --> 00:51:43.020]  所以说呢
[00:51:43.020 --> 00:51:44.020]  我们还是通过这个比较
[00:51:44.020 --> 00:51:44.020]  比法
[00:51:44.020 --> 00:51:45.020]  比如说
[00:51:45.020 --> 00:51:45.020]  比出来
[00:51:45.020 --> 00:51:47.020]  当前这个Blockid呢
[00:51:47.020 --> 00:51:48.020]  它只要说
[00:51:48.020 --> 00:51:50.020]  能比这个
[00:51:50.020 --> 00:51:51.020]  这个
[00:51:51.020 --> 00:51:52.020]  这个块的
[00:51:52.020 --> 00:51:53.020]  每块这个
[00:51:53.020 --> 00:51:54.020]  数要高
[00:51:54.020 --> 00:51:55.020]  那它的
[00:51:55.020 --> 00:51:56.020]  就是能做到说
[00:51:56.020 --> 00:51:57.020]  我这个
[00:51:57.020 --> 00:51:58.020]  能确定
[00:51:58.020 --> 00:51:59.020]  当前我这个
[00:51:59.020 --> 00:52:00.020]  这个大块
[00:52:00.020 --> 00:52:01.020]  是n方向的一个尾块
[00:52:01.020 --> 00:52:07.020]  然后呢
[00:52:07.020 --> 00:52:08.020]  我们再
[00:52:08.020 --> 00:52:10.020]  能确定下来
[00:52:10.020 --> 00:52:11.020]  我们的这个
[00:52:11.020 --> 00:52:13.020]  这个大块的一个大小之后呢
[00:52:13.020 --> 00:52:14.020]  我们下来呢
[00:52:14.020 --> 00:52:15.020]  就来判断一下
[00:52:15.020 --> 00:52:17.020]  我们当前的小块
[00:52:17.020 --> 00:52:18.020]  在大块里边
[00:52:18.020 --> 00:52:20.020]  它的这个行和列
[00:52:20.020 --> 00:52:21.020]  到底是多少
[00:52:21.020 --> 00:52:24.020]  那从这个行方向来说呢
[00:52:24.020 --> 00:52:26.020]  我们首先一个是
[00:52:26.020 --> 00:52:27.020]  能获取到
[00:52:27.020 --> 00:52:29.020]  我们当前这个小块
[00:52:29.020 --> 00:52:30.020]  在大Block
[00:52:30.020 --> 00:52:32.020]  大Block里边的这个编号
[00:52:32.020 --> 00:52:33.020]  有时候把它变成一个
[00:52:33.020 --> 00:52:34.020]  0到64的
[00:52:34.020 --> 00:52:35.020]  0到63的
[00:52:35.020 --> 00:52:36.020]  这么一个状态
[00:52:36.020 --> 00:52:37.020]  那这块呢
[00:52:37.020 --> 00:52:38.020]  做法其实就是说
[00:52:38.020 --> 00:52:39.020]  我们
[00:52:39.020 --> 00:52:40.020]  我这个号呢
[00:52:40.020 --> 00:52:41.020]  先
[00:52:41.020 --> 00:52:43.020]  出于这个
[00:52:43.020 --> 00:52:45.020]  完整的一个大行
[00:52:45.020 --> 00:52:47.020]  然后再出于这个
[00:52:47.020 --> 00:52:48.020]  这个
[00:52:48.020 --> 00:52:49.020]  先于这个完整大行
[00:52:49.020 --> 00:52:50.020]  然后再于这个完整的大列
[00:52:50.020 --> 00:52:51.020]  然后能算出来
[00:52:51.020 --> 00:52:53.020]  就是我当前的这个
[00:52:53.020 --> 00:52:54.020]  这个这个
[00:52:54.020 --> 00:52:55.020]  这个
[00:52:55.020 --> 00:52:56.020]  Block id
[00:52:56.020 --> 00:52:57.020]  在我这个
[00:52:57.020 --> 00:52:59.020]  大块内的一个编号
[00:52:59.020 --> 00:53:00.020]  把它给压回一个
[00:53:00.020 --> 00:53:01.020]  这个
[00:53:01.020 --> 00:53:03.020]  8x8的一个状态
[00:53:03.020 --> 00:53:04.020]  然后呢
[00:53:04.020 --> 00:53:05.020]  就来算我们在这个块
[00:53:05.020 --> 00:53:06.020]  然后就能算我们
[00:53:06.020 --> 00:53:07.020]  这个小块的一个真实行
[00:53:07.020 --> 00:53:08.020]  然后它的
[00:53:08.020 --> 00:53:09.020]  真实的行号呢
[00:53:09.020 --> 00:53:10.020]  其实就是说
[00:53:10.020 --> 00:53:12.020]  在我这个大块内的行号
[00:53:12.020 --> 00:53:13.020]  还有就是
[00:53:13.020 --> 00:53:15.020]  再加上我们大块
[00:53:15.020 --> 00:53:16.020]  基于
[00:53:16.020 --> 00:53:18.020]  第0行的一个偏移的
[00:53:18.020 --> 00:53:19.020]  这个
[00:53:19.020 --> 00:53:20.020]  这个
[00:53:20.020 --> 00:53:21.020]  长度给加起来
[00:53:21.020 --> 00:53:23.020]  那这个
[00:53:24.020 --> 00:53:25.020]  我们在这边可以讲
[00:53:25.020 --> 00:53:27.020]  这个我们算这个
[00:53:27.020 --> 00:53:28.020]  偏移的话
[00:53:28.020 --> 00:53:29.020]  其实就是用这个index
[00:53:29.020 --> 00:53:30.020]  然后去
[00:53:30.020 --> 00:53:32.020]  做我们这个大行的一个整除
[00:53:32.020 --> 00:53:34.020]  然后再乘起来这个行数
[00:53:34.020 --> 00:53:35.020]  就能算出来
[00:53:35.020 --> 00:53:36.020]  那余数呢
[00:53:36.020 --> 00:53:37.020]  就是一个
[00:53:37.020 --> 00:53:38.020]  块内的行号呢
[00:53:38.020 --> 00:53:39.020]  其实就是
[00:53:39.020 --> 00:53:41.020]  就是直接做一个简单取语就行
[00:53:41.020 --> 00:53:42.020]  因为我们之前提到这个
[00:53:42.020 --> 00:53:44.020]  对角线的分配方式呢
[00:53:44.020 --> 00:53:45.020]  它其实从
[00:53:45.020 --> 00:53:47.020]  这个行的这个角度来CANN的话
[00:53:47.020 --> 00:53:48.020]  那就是
[00:53:48.020 --> 00:53:49.020]  每前进一个数
[00:53:49.020 --> 00:53:50.020]  它就会
[00:53:50.020 --> 00:53:51.020]  多加一行
[00:53:51.020 --> 00:53:52.020]  然后呢
[00:53:52.020 --> 00:53:52.020]  结束之后呢
[00:53:52.020 --> 00:53:53.020]  再会从头绕回来
[00:53:53.020 --> 00:53:54.020]  那所以说
[00:53:54.020 --> 00:53:55.020]  我这个
[00:53:55.020 --> 00:53:56.020]  当前的我Blockid
[00:53:56.020 --> 00:53:57.020]  来算我这个
[00:53:57.020 --> 00:53:58.020]  内部行号
[00:53:58.020 --> 00:53:59.020]  其实就是一个简单取语
[00:53:59.020 --> 00:54:00.020]  就能做到
[00:54:00.020 --> 00:54:02.020]  所以就把这两个数加起来
[00:54:02.020 --> 00:54:03.020]  也就是我这个
[00:54:03.020 --> 00:54:06.020]  当前这个小块的一个
[00:54:06.020 --> 00:54:08.020]  从上到下的这么一个
[00:54:08.020 --> 00:54:10.020]  整体的一个行号
[00:54:12.020 --> 00:54:13.020]  然后裂号呢
[00:54:13.020 --> 00:54:15.020]  其实跟算行号的思路也是一样的
[00:54:15.020 --> 00:54:16.020]  都是把这个
[00:54:16.020 --> 00:54:18.020]  前面完整的块的长度
[00:54:18.020 --> 00:54:20.020]  然后再加上我们在块内的
[00:54:20.020 --> 00:54:22.020]  这个在裂方向的这么一个长度
[00:54:22.020 --> 00:54:26.020]  那这块比行号要稍微复杂一点
[00:54:26.020 --> 00:54:27.020]  复杂一点呢
[00:54:27.020 --> 00:54:27.020]  就是
[00:54:27.020 --> 00:54:29.020]  因为我们在八成八
[00:54:29.020 --> 00:54:30.020]  或者说
[00:54:30.020 --> 00:54:31.020]  当然不定八成八
[00:54:31.020 --> 00:54:33.020]  CANN你们自己的写法
[00:54:33.020 --> 00:54:34.020]  在我们这种里边
[00:54:34.020 --> 00:54:35.020]  这个
[00:54:35.020 --> 00:54:36.020]  大块这个
[00:54:36.020 --> 00:54:37.020]  分法里边呢
[00:54:37.020 --> 00:54:38.020]  它有一种情况
[00:54:38.020 --> 00:54:39.020]  就是说
[00:54:39.020 --> 00:54:40.020]  我们可能对角线吧
[00:54:40.020 --> 00:54:41.020]  分完之后
[00:54:41.020 --> 00:54:42.020]  一路回来
[00:54:42.020 --> 00:54:43.020]  又绕回来的第一个值
[00:54:43.020 --> 00:54:44.020]  但是呢
[00:54:44.020 --> 00:54:45.020]  又有其他的
[00:54:45.020 --> 00:54:46.020]  没有覆盖到
[00:54:46.020 --> 00:54:47.020]  那像假如说
[00:54:47.020 --> 00:54:48.020]  我们是这种三乘五的
[00:54:48.020 --> 00:54:49.020]  那这其实你CANN
[00:54:49.020 --> 00:54:51.020]  我们直接从012
[00:54:51.020 --> 00:54:53.020]  就是三四五
[00:54:53.020 --> 00:54:54.020]  六七八
[00:54:54.020 --> 00:54:55.020]  九十十一
[00:54:55.020 --> 00:54:56.020]  十二十三十四
[00:54:56.020 --> 00:54:57.020]  那其实从头到尾
[00:54:57.020 --> 00:54:59.020]  一次对角线的分下来
[00:54:59.020 --> 00:55:00.020]  就能分到
[00:55:00.020 --> 00:55:02.020]  但是如果说我们是
[00:55:02.020 --> 00:55:04.020]  比如说是这个
[00:55:04.020 --> 00:55:06.020]  这个是六乘八的这个情况下
[00:55:06.020 --> 00:55:08.020]  那它其实从0
[00:55:08.020 --> 00:55:10.020]  我往下一路走到23的话
[00:55:10.020 --> 00:55:11.020]  你发现
[00:55:11.020 --> 00:55:13.020]  如果按照我们对角线的规律
[00:55:13.020 --> 00:55:14.020]  再往下走24
[00:55:14.020 --> 00:55:15.020]  它会回到0了
[00:55:15.020 --> 00:55:17.020]  但这样的话
[00:55:17.020 --> 00:55:19.020]  我们就需要再做下一个数据
[00:55:19.020 --> 00:55:20.020]  就是说如果我们碰到了这种
