
[00:00:00.000 --> 00:00:08.680]  今天呢我主要是给大家介绍一下这个Triton这个语言是怎么在升能上开发的
[00:44:38.000 --> 00:44:42.000]  我们签过来然后或者我们完全仿照GPU写法就写算子
[00:44:42.000 --> 00:44:46.000]  那过来之后它会容易出啥错误呢
[00:44:46.000 --> 00:44:52.000]  然后呢然后第一个容易出现其实就是这个Core Dimension超出限制
[00:44:52.000 --> 00:44:56.000]  比如说如果我就是非常的忙
[00:44:56.000 --> 00:45:01.000]  这个Grade给了一个巨大的值超出了这个6535那它其实就会直接报错
[00:45:01.000 --> 00:45:05.000]  比如说我们对这个这个这个其实对这个值的表达用的是Uint16啊
[00:45:05.000 --> 00:45:07.000]  所以是不能超过这个上限的
[00:45:07.000 --> 00:45:09.000]  然后呢
[00:45:09.000 --> 00:45:11.000]  但这只是只是说不出所
[00:45:11.000 --> 00:45:13.000]  但更实际的事上来说呢
[00:45:13.000 --> 00:45:15.000]  我们是需要的是这个值呢
[00:45:15.000 --> 00:45:19.000]  它最好是不要超过我们的物理核数
[00:45:19.000 --> 00:45:21.000]  原来是什么呢
[00:45:21.000 --> 00:45:23.000]  我们的这个并行嘛
[00:45:23.000 --> 00:45:27.000]  所以我们虽然说可以同时说我们发生这么多的逻辑核出来
[00:45:27.000 --> 00:45:29.000]  但因为物理核比逻辑核少的话
[00:45:29.000 --> 00:45:35.000]  那其实我们就是有的多个逻辑核就只能排队去串行去做了
[00:45:35.000 --> 00:45:37.000]  因为他们要等这个硬件资源
[00:45:37.000 --> 00:45:39.000]  那这样的情况下呢
[00:45:39.000 --> 00:45:43.000]  我们就反而会有更多的这个硬件角度的开销
[00:45:43.000 --> 00:45:45.000]  那就会影响性的
[00:45:45.000 --> 00:45:49.000]  比如说我如果我有40个Vector核
[00:45:49.000 --> 00:45:51.000]  那我写个Vector核
[00:45:51.000 --> 00:45:51.000]  那我写个Vector算子的话
[00:45:51.000 --> 00:45:53.000]  我这个东西我设个1万
[00:45:53.000 --> 00:45:57.000]  它肯定会比我设40的逻辑要差
[00:45:57.000 --> 00:45:59.000]  那所以这会呢
[00:45:59.000 --> 00:46:01.000]  我们就是要怎么说
[00:46:01.000 --> 00:46:05.000]  跟想好我们这个需要设置这个核数
[00:46:05.000 --> 00:46:07.000]  然后呢根据它来控制说
[00:46:07.000 --> 00:46:08.000]  我们每个核的不到size
[00:46:08.000 --> 00:46:09.000]  也说我们每个核要
[00:46:09.000 --> 00:46:12.000]  负责计算的这个数据量有多大
[00:46:12.000 --> 00:46:15.000]  然后那我们可以就是考虑好之后
[00:46:15.000 --> 00:46:17.000]  再把这个硬的设置成
[00:46:17.000 --> 00:46:19.000]  这个用它来计算的这个lambda函数
[00:46:19.000 --> 00:46:21.000]  然后呢在这个基础上
[00:46:21.000 --> 00:46:23.000]  我们可以去调整这个数值
[00:46:23.000 --> 00:46:27.000]  来避免它这个东西太小
[00:46:27.000 --> 00:46:29.000]  因为它如果小的话
[00:46:29.000 --> 00:46:31.000]  我们的这个grade就要打了
[00:46:31.000 --> 00:46:33.000]  那这样的话就会有性能问题
[00:46:33.000 --> 00:46:35.000]  或者说干脆就跑不了
[00:46:35.000 --> 00:46:39.000]  对那我们这块的一个进程
[00:46:39.000 --> 00:46:41.000]  说说我一个逻辑核
[00:46:41.000 --> 00:46:45.000]  它实际上是不能跑在多个同类核上的
[00:46:45.000 --> 00:46:47.000]  所以说我们其实要进行的去用满它
[00:46:47.000 --> 00:46:49.000]  比如说假设我有
[00:46:49.000 --> 00:46:52.000]  假设我有40个vector核的话
[00:46:52.000 --> 00:46:54.000]  如果这个grade我给了个20
[00:46:54.000 --> 00:46:56.000]  那他就会用20个
[00:46:56.000 --> 00:46:57.000]  他不会说我把我
[00:46:57.000 --> 00:47:00.000]  比如说我当前的某个pid的东西
[00:47:00.000 --> 00:47:01.000]  给分到两核上跑
[00:47:01.000 --> 00:47:02.000]  他不会
[00:47:02.000 --> 00:47:03.000]  然后所以说如果
[00:47:03.000 --> 00:47:06.000]  我在有40核的情况下
[00:47:06.000 --> 00:47:07.000]  我就会用20
[00:47:07.000 --> 00:47:09.000]  那就是浪费20个
[00:47:10.000 --> 00:47:11.000]  然后所以绩效后
[00:47:11.000 --> 00:47:13.000]  你就尽可能把这个东西用满
[00:47:13.000 --> 00:47:16.000]  然后他说我一个进程
[00:47:16.000 --> 00:47:18.000]  什么情况下会跑在多核上呢
[00:47:19.000 --> 00:47:21.000]  混用的时候
[00:47:21.000 --> 00:47:23.000]  比如说如果我写的是一个纯vector算子
[00:47:23.000 --> 00:47:24.000]  那他不会
[00:47:24.000 --> 00:47:25.000]  比如我一个算子
[00:47:25.000 --> 00:47:28.000]  不会跑在多个这个核上
[00:47:28.000 --> 00:47:30.000]  但如果我写的是
[00:47:30.000 --> 00:47:32.000]  有cube有vector的话
[00:47:32.000 --> 00:47:33.000]  那他这个kernel呢
[00:47:33.000 --> 00:47:37.000]  其实可以就是同时跑在一个cube和两个vector核上的
[00:47:37.000 --> 00:47:40.000]  因为我们本身这个910bc里边
[00:47:40.000 --> 00:47:42.000]  这个vector核就是cube核的两倍
[00:47:42.000 --> 00:47:45.000]  这块其实是编辑自己机动去做的
[00:47:45.000 --> 00:47:46.000]  然后呢
[00:47:46.000 --> 00:47:47.000]  但是我们多个进程呢
[00:47:47.000 --> 00:47:49.000]  是可以串行碰到一个核上的
[00:47:49.000 --> 00:47:50.000]  就像我之前说的
[00:47:50.000 --> 00:47:53.000]  我给1万个grade
[00:47:53.000 --> 00:47:54.000]  1万个逻辑核
[00:47:54.000 --> 00:47:56.000]  那如果我只有40个物理核的话
[00:47:56.000 --> 00:48:00.000]  那他们肯定最后有很多都要串行去排队
[00:48:00.000 --> 00:48:04.000]  等空前的这个物理核空出来之后才能用
[00:48:06.000 --> 00:48:07.000]  对然后这块的话呢
[00:48:07.000 --> 00:48:10.000]  就是说这个我们怎么用这个核呢
[00:48:10.000 --> 00:48:15.000]  可以把这个在代码里边直接写一段代码来
[00:48:15.000 --> 00:48:17.000]  获取到这个核的c
[00:48:17.000 --> 00:48:19.000]  然后可以直接把它写在这个grade这块当我们参数用
[00:48:19.000 --> 00:48:28.000]  这块其实就本身这个我们这个这个这个Runtime给的一个功能
[00:48:28.000 --> 00:48:35.000]  就是说我们可以获取这个NQ的Proverties在里边说我们能拿到AICore的数量
[00:48:35.000 --> 00:48:37.000]  其实这就是cube核的数量
[00:48:37.000 --> 00:48:39.000]  然后Vector Core的数量就是vector核的数量
[00:48:39.000 --> 00:48:44.000]  我们可以把这个两个东西直接写在用这两个东西来算这个grade
[00:48:44.000 --> 00:48:49.000]  那这样的话就能尽可能的这个用满我们的这个物理核
[00:48:51.000 --> 00:48:52.000]  不好意思
[00:48:52.000 --> 00:48:56.000]  打断一下这个grade是vector的数量还是cube的数量
[00:48:57.000 --> 00:48:58.000]  是这样的
[00:48:58.000 --> 00:49:00.000]  如果说我这里边是
[00:49:01.000 --> 00:49:04.000]  我这Core中里边是只有vector
[00:49:04.000 --> 00:49:07.000]  没有用到cube那它就是vector的数量
[00:49:07.000 --> 00:49:09.000]  如果我这里边只用到了cube
[00:49:09.000 --> 00:49:10.000]  没有用到vector
[00:49:10.000 --> 00:49:12.000]  那它就是cube的数量
[00:49:12.000 --> 00:49:14.000]  如果我同时用的话
[00:49:14.000 --> 00:49:16.000]  那这个就代表的是cube的数量
[00:49:16.000 --> 00:49:17.000]  哦
[00:49:17.000 --> 00:49:21.000]  我那个我烧鸡点水啊
[00:49:21.000 --> 00:49:22.000]  嗯
[00:49:22.000 --> 00:49:24.000]  我那个我烧鸡点水啊
[00:49:24.000 --> 00:49:25.000]  嗯
[00:49:37.000 --> 00:49:39.000]  嗯
[00:49:39.000 --> 00:49:40.000]  嗯
[00:49:40.000 --> 00:49:40.000]  嗯
[00:49:40.000 --> 00:49:41.000]  嗯
[00:49:41.000 --> 00:49:42.000]  嗯
[00:49:42.000 --> 00:49:44.000]  这页大家还有什么问题吗
[00:49:44.000 --> 00:49:45.000]  嗯
[00:49:45.000 --> 00:49:46.000]  嗯
[00:49:46.000 --> 00:49:46.000]  嗯
[00:49:46.000 --> 00:49:47.000]  嗯
[00:49:47.000 --> 00:49:47.000]  嗯
[00:49:47.000 --> 00:49:48.000]  嗯
[00:49:48.000 --> 00:49:48.000]  嗯
[00:49:48.000 --> 00:49:49.000]  嗯
[00:49:49.000 --> 00:49:50.000]  嗯
[00:49:50.000 --> 00:49:50.000]  嗯
[00:49:50.000 --> 00:49:51.000]  嗯
[00:49:51.000 --> 00:49:51.000]  嗯
[00:49:51.000 --> 00:49:52.000]  嗯
[00:49:52.000 --> 00:49:53.000]  嗯
[00:49:53.000 --> 00:49:54.000]  嗯
[00:49:54.000 --> 00:49:55.000]  嗯
[00:49:55.000 --> 00:49:56.000]  这页大家还有什么问题吗
[00:49:56.000 --> 00:49:57.000]  嗯
[00:49:57.000 --> 00:49:58.000]  嗯
[00:49:58.000 --> 00:49:59.000]  嗯
[00:49:59.000 --> 00:50:02.000]  那我们继续啊
[00:50:02.000 --> 00:50:06.000]  然后就是还有一个常见的错误
[00:50:06.000 --> 00:50:08.000]  就是这个片上内存溢出
[00:50:08.000 --> 00:50:10.000]  那这个原因是啥呢
[00:50:10.000 --> 00:50:11.000]  就是说呃
[00:50:11.000 --> 00:50:14.000]  因为我们就是如果我们不了解这个
[00:50:14.000 --> 00:50:17.000]  就是我们生通这个片上内存的信息的话
[00:50:17.000 --> 00:50:21.000]  因为我们现在说像之前说的这个分block set之后
[00:50:21.000 --> 00:50:28.000]  他就先说我们一个核上面要不是多少数据吗
[00:50:28.000 --> 00:50:31.000]  但这但这个数据如果太大的话
[00:50:31.000 --> 00:50:33.000]  其实他是没法一次处理成功的
[00:50:33.000 --> 00:50:37.000]  因为他里边这个数量如果超过这个片上内存上限的话
[00:50:37.000 --> 00:50:38.000]  那他就会爆错
[00:50:38.000 --> 00:50:40.000]  因为确实放不下
[00:50:41.000 --> 00:50:45.000]  所以我们如果碰到这个东西又怎么出来呢
[00:50:45.000 --> 00:50:49.000]  因为我们没法去简单的这个block set给搞小
[00:50:49.000 --> 00:50:51.000]  因为他搞小的话贵的又多了嘛
[00:50:51.000 --> 00:50:52.000]  性能又差了
[00:50:52.000 --> 00:50:53.000]  所以这个时候呢
[00:50:53.000 --> 00:50:57.000]  我们需要就是说我们在这个核内
[00:50:57.000 --> 00:50:58.000]  我们再做一层tiling
[00:50:58.000 --> 00:51:01.000]  给这个数据做这个切分
[00:51:01.000 --> 00:51:03.000]  诶
[00:51:03.000 --> 00:51:04.000]  诶
[00:51:04.000 --> 00:51:05.000]  诶
[00:51:05.000 --> 00:51:08.000]  然后呃
[00:51:08.000 --> 00:51:09.000]  偏上内存呢
[00:51:09.000 --> 00:51:10.000]  其实就是
[00:51:10.000 --> 00:51:11.000]  Q的话就是LEbuffer
[00:51:11.000 --> 00:51:13.000]  然后gatter的话就是UB
[00:51:13.000 --> 00:51:19.000]  然后呢实际上我们很难去准确的去估计他到底占多少内存空间
[00:51:19.000 --> 00:51:21.000]  呃
[00:51:21.000 --> 00:51:22.000]  原因是呢
[00:51:22.000 --> 00:51:23.000]  这个
[00:51:23.000 --> 00:51:24.000]  呃
[00:51:24.000 --> 00:51:24.000]  中间呢
[00:51:24.000 --> 00:51:27.000]  本身有一个空间是要给这个中央变量啊
[00:51:27.000 --> 00:51:28.000]  基层器这些地方去使用的
[00:51:28.000 --> 00:51:32.000]  或者有一些临时的一些基层结果也需要占一些空间
[00:51:32.000 --> 00:51:35.000]  另外呢就是编译器他自己在就是做优化的时候呢
[00:51:35.000 --> 00:51:37.000]  其实他里边会有些内存服用
[00:51:37.000 --> 00:51:40.000]  然后可能你用的没有你想的那么多
[00:51:41.000 --> 00:51:45.000]  所以这个我们到底用了多少片上内存
[00:51:45.000 --> 00:51:47.000]  这个事儿是呃
[00:51:47.000 --> 00:51:52.000]  我们没法就是靠写代码的时候去估出来的
[00:51:52.000 --> 00:51:53.000]  然后呢
[00:51:53.000 --> 00:51:54.000]  这块呢
[00:51:54.000 --> 00:51:56.000]  我们说呃
[00:51:56.000 --> 00:52:00.000]  我们肯定处理方式就是说我们对里边数据做切块嘛
[00:52:00.000 --> 00:52:01.000]  但是我们切块其多大呢
[00:52:01.000 --> 00:52:02.000]  啊
[00:52:02.000 --> 00:52:07.000]  这块我们是可以通过这个报错信息来辅助调整
[00:52:07.000 --> 00:52:09.000]  因为我们那个报错里呢
[00:52:09.000 --> 00:52:12.000]  他会明确的告诉你说是UB还是LE
[00:52:12.000 --> 00:52:15.000]  就是哪块内存它报了
[00:52:15.000 --> 00:52:17.000]  然后他到底是报了多少
[00:52:17.000 --> 00:52:21.000]  比如说像这个情况就是相当于我们基本上超了一倍
[00:52:21.000 --> 00:52:24.000]  那这样的话我们就给这个里边这个subblock size
[00:52:24.000 --> 00:52:26.000]  然后给砍掉一半
[00:52:26.000 --> 00:52:29.000]  然后再微调就行
[00:52:29.000 --> 00:52:30.000]  然后呢
[00:52:30.000 --> 00:52:34.000]  这块太硬的话也就说我们呢可以去加一个参数
[00:52:34.000 --> 00:52:38.000]  来指定我这个大块里边的小块的大小
[00:52:38.000 --> 00:52:39.000]  然后呢
[00:52:39.000 --> 00:52:42.000]  其实这条代码跟之前那个几乎没区别
[00:52:42.000 --> 00:52:43.000]  然后微区别的啥呢
[00:52:43.000 --> 00:52:45.000]  就是我们需要用一个for循环
[00:52:45.000 --> 00:52:46.000]  然后呢
[00:52:46.000 --> 00:52:48.000]  来做这个采领
[00:52:48.000 --> 00:52:49.000]  然后每一次呢
[00:52:49.000 --> 00:52:50.000]  循环里边
[00:52:50.000 --> 00:52:53.000]  我们去露的这个subblock size的这么大小的数据
[00:52:53.000 --> 00:52:55.000]  然后给它露的出来
[00:52:55.000 --> 00:52:56.000]  算完再store回去
[00:52:56.000 --> 00:52:58.000]  然后呢
[00:52:58.000 --> 00:53:00.000]  我们再进行循环的下一个迭代
[00:53:00.000 --> 00:53:04.000]  再算这个block size里的下一个subblock size
[00:53:04.000 --> 00:53:06.000]  然后去做完这个对论计算
[00:53:06.000 --> 00:53:07.000]  然后这样的话
[00:53:07.000 --> 00:53:08.000]  现在说
[00:53:08.000 --> 00:53:10.000]  对于我们这个逻辑核来说
[00:53:10.000 --> 00:53:16.000]  我其实占用的这个内存大小呢
[00:53:16.000 --> 00:53:17.000]  其实是subblock size的这个大小
[00:53:19.000 --> 00:53:20.000]  然后这样的话
[00:53:20.000 --> 00:53:23.000]  我们就不用去这个改小block size
[00:53:23.000 --> 00:53:25.000]  去导致这个grade变大
[00:53:25.000 --> 00:53:27.000]  然后所以这块呢
[00:53:27.000 --> 00:53:30.000]  也是我们这个
[00:53:30.000 --> 00:53:34.000]  就这个tiding也是我们在升等上去做这个串点开发时候
[00:53:34.000 --> 00:53:37.000]  需要做的一个部分
[00:53:37.000 --> 00:53:40.000]  因为实际上如果我们搞一个很大规模
[00:53:40.000 --> 00:53:41.000]  如果我们使用了这个算子的话
[00:53:41.000 --> 00:53:43.000]  那这个tiding肯定是抖不掉
[00:53:44.000 --> 00:53:45.000]  嗯
[00:53:45.000 --> 00:53:46.000]  这里我有个问题
[00:53:46.000 --> 00:53:47.000]  这里mask
[00:53:47.000 --> 00:53:49.000]  他这边
[00:53:49.000 --> 00:53:51.000]  就是如果每个核内
[00:53:51.000 --> 00:53:52.000]  他如果有尾块的话
[00:53:52.000 --> 00:53:56.000]  他这边只需要写小于最大的值吗
[00:53:56.000 --> 00:53:57.000]  不需要小于
[00:53:57.000 --> 00:53:59.000]  他那个每个核内
[00:53:59.000 --> 00:54:01.000]  他那个上限吗
[00:54:01.000 --> 00:54:04.000]  你说如果每个核内都有尾块吗
[00:54:04.000 --> 00:54:05.000]  对
[00:54:05.000 --> 00:54:08.000]  就比如说你这个subblock size
[00:54:08.000 --> 00:54:11.000]  他不能整出那个block size吗
[00:54:11.000 --> 00:54:12.000]  那他
[00:54:12.000 --> 00:54:13.000]  嗯
[00:54:13.000 --> 00:54:14.000]  这样的话这样
[00:54:14.000 --> 00:54:15.000]  核内不是有尾块吗
[00:54:15.000 --> 00:54:17.000]  那么你最后
[00:54:17.000 --> 00:54:20.000]  就是每个核内最后一个
[00:54:20.000 --> 00:54:21.000]  呃
[00:54:21.000 --> 00:54:21.000]  子块
[00:54:21.000 --> 00:54:23.000]  他不是你上面offset
[00:54:23.000 --> 00:54:24.000]  他是
[00:54:24.000 --> 00:54:26.000]  从零到subblock size吗
[00:54:26.000 --> 00:54:29.000]  他不就会多算吗
[00:54:29.000 --> 00:54:30.000]  这需要
[00:54:30.000 --> 00:54:32.000]  因为这个情况呢
[00:54:32.000 --> 00:54:34.000]  一般不会这么写
[00:54:34.000 --> 00:54:35.000]  就是呃
[00:54:35.000 --> 00:54:36.000]  原则上trizen的话
[00:54:36.000 --> 00:54:37.000]  呃
[00:54:37.000 --> 00:54:38.000]  这个block size
[00:54:38.000 --> 00:54:39.000]  是要二的密的
[00:54:39.000 --> 00:54:40.000]  然后subblock size
[00:54:40.000 --> 00:54:41.000]  我们也是二的密
[00:54:41.000 --> 00:54:43.000]  所以在内部切分的时候
[00:54:43.000 --> 00:54:44.000]  我们一般不会去造成
[00:54:44.000 --> 00:54:47.000]  这个里边需要处理尾块的情况
[00:54:47.000 --> 00:54:48.000]  哦
[00:54:48.000 --> 00:54:49.000]  对
[00:54:49.000 --> 00:54:51.000]  因为如果说我们里边这个切块
[00:54:51.000 --> 00:54:52.000]  还有block size
[00:54:52.000 --> 00:54:54.000]  就是留给块的话呢
[00:54:54.000 --> 00:54:56.000]  其实很影响性能
[00:54:56.000 --> 00:54:57.000]  好的
[00:54:57.000 --> 00:54:58.000]  对
[00:55:02.000 --> 00:55:03.000]  嗯
[00:55:03.000 --> 00:55:03.000]  对
[00:55:03.000 --> 00:55:04.000]  然后那个
[00:55:04.000 --> 00:55:05.000]  还有就是multibuffer选项
[00:55:05.000 --> 00:55:07.000]  这个东西其实也是
[00:55:07.000 --> 00:55:08.000]  呃
[00:55:08.000 --> 00:55:09.000]  就是我们在这个升能
[00:55:09.000 --> 00:55:13.000]  这个trizen上面给大家新增的一个东西
[00:55:13.000 --> 00:55:14.000]  然后呢
[00:55:14.000 --> 00:55:16.000]  这个这个这个概念大家肯定都理解
[00:55:16.000 --> 00:55:17.000]  就是说我们
[00:55:17.000 --> 00:55:18.000]  就是
[00:55:18.000 --> 00:55:19.000]  send不性能优化嘛
[00:55:19.000 --> 00:55:22.000]  就是去增强它这个计算和搬叶的这个平行度
[00:55:22.000 --> 00:55:23.000]  然后呢
[00:55:23.000 --> 00:55:24.000]  这部分呢
[00:55:24.000 --> 00:55:25.000]  现在说我们
[00:55:25.000 --> 00:55:27.000]  在trizen的send里边
[00:55:27.000 --> 00:55:28.000]  其实呃
[00:55:28.000 --> 00:55:30.000]  其实跟那个npr一块的
[00:55:30.000 --> 00:55:31.000]  就是npr一块的
[00:55:31.000 --> 00:55:32.000]  就是npr
[00:55:32.000 --> 00:55:33.000]  然后
[00:55:33.000 --> 00:55:35.000]  就是一起来做的一个自动的一个能力
[00:55:35.000 --> 00:55:36.000]  然后呢
[00:55:36.000 --> 00:55:37.000]  这个东西呢
[00:55:37.000 --> 00:55:38.000]  但我们要注意点就是说
[00:55:38.000 --> 00:55:39.000]  呃
[00:55:39.000 --> 00:55:43.000]  一个它是一个可选的默认开启
[00:55:43.000 --> 00:55:45.000]  但是你可以选择关闭
[00:55:45.000 --> 00:55:49.000]  因为有时候一些情况下它开启可能会性能更差
[00:55:49.000 --> 00:55:52.000]  这是有这个极端情况存在的
[00:55:52.000 --> 00:55:53.000]  另外就是说
[00:55:53.000 --> 00:55:54.000]  因为我们做这个double buffer嘛
[00:55:54.000 --> 00:55:56.000]  其实说我们其实
[00:55:56.000 --> 00:56:00.000]  那我们又给里边内存又切了一半来处理
[00:56:00.000 --> 00:56:03.000]  所以说本身我192的这个
[00:56:03.000 --> 00:56:04.000]  这个
[00:56:04.000 --> 00:56:07.000]  这个应该是L1吧
[00:56:07.000 --> 00:56:09.000]  ERUB
[00:56:09.000 --> 00:56:10.000]  ERUB的话
[00:56:10.000 --> 00:56:12.000]  那我们开了buffer的话
[00:56:12.000 --> 00:56:14.000]  我们就不能超过96了
[00:56:14.000 --> 00:56:16.000]  因为这个这个
[00:56:16.000 --> 00:56:17.000]  对吧
[00:56:17.000 --> 00:56:19.000]  因为它要留两块去做这个流水平行
[00:56:19.000 --> 00:56:20.000]  去这样的话
[00:56:20.000 --> 00:56:22.000]  我们就是如果开的话
[00:56:22.000 --> 00:56:24.000]  那我们前面sublog的这个大小
[00:56:24.000 --> 00:56:26.000]  其实也会需要对应来调整
[00:56:26.000 --> 00:56:27.000]  然后呢
[00:56:27.000 --> 00:56:29.000]  就是我们怎么控制它呢
[00:56:29.000 --> 00:56:31.000]  其实这方式也比较多
[00:56:31.000 --> 00:56:34.000]  要么就是说我们先提到过的
[00:56:34.000 --> 00:56:37.000]  我们在这个AutoTone里边
[00:56:37.000 --> 00:56:39.000]  我们可以去把它作为一个
[00:56:39.000 --> 00:56:40.000]  Tone的一个选项
[00:56:40.000 --> 00:56:43.000]  来听说它的开关去
[00:56:43.000 --> 00:56:45.000]  选择说去自动去测
[00:56:45.000 --> 00:56:46.000]  它是开了还是关了好
[00:56:46.000 --> 00:56:48.000]  然后这样的话它又可以自动给你选
[00:56:48.000 --> 00:56:49.000]  然后另一种呢
[00:56:49.000 --> 00:56:52.000]  就是说我们这个传参也可以做这个控制
[00:56:52.000 --> 00:56:55.000]  当然这也很简单
[00:56:55.000 --> 00:56:57.000]  就是我们调的时候
[00:56:57.000 --> 00:56:58.000]  就是我们算子
[00:56:58.000 --> 00:57:01.000]  在算子参数里不用去生命它
[00:57:01.000 --> 00:57:02.000]  在我们在调的时候
[00:57:02.000 --> 00:57:03.000]  最后加一个
[00:57:03.000 --> 00:57:04.000]  这玩意的False
[00:57:04.000 --> 00:57:05.000]  就关了
[00:57:07.000 --> 00:57:08.000]  然后这个东西
[00:57:08.000 --> 00:57:09.000]  其实就是先说
[00:57:09.000 --> 00:57:11.000]  给这个Traten
[00:57:11.000 --> 00:57:12.000]  我们在这个Traten编辑里边
[00:57:12.000 --> 00:57:15.000]  做了一套自动的这个multi buffer
[00:57:15.000 --> 00:57:16.000]  但它呢是
[00:57:16.000 --> 00:57:19.000]  这个功能本身不会导致失败
[00:57:19.000 --> 00:57:22.000]  因为它如果说判断说你这个东西
[00:57:22.000 --> 00:57:23.000]  有风险
[00:57:23.000 --> 00:57:24.000]  它没有绝对把握的话呢
[00:57:24.000 --> 00:57:25.000]  它就会
[00:57:25.000 --> 00:57:28.000]  还是用那个
[00:57:28.000 --> 00:57:29.000]  现在说single buffer
[00:57:29.000 --> 00:57:31.000]  那个模式往下走
[00:57:31.000 --> 00:57:32.000]  只说现在的话呢
[00:57:32.000 --> 00:57:35.000]  就像说退出这个double buffer的优化了
[00:57:35.000 --> 00:57:36.000]  只说现在的话呢
[00:57:36.000 --> 00:57:38.000]  它这个退出这个没给提示
[00:57:38.000 --> 00:57:40.000]  它后边也会增加提示
[00:57:40.000 --> 00:57:41.000]  然后避免说有的
[00:57:41.000 --> 00:57:43.000]  有的用户可能会疑问说
[00:57:43.000 --> 00:57:45.000]  为什么开这个东西
[00:57:45.000 --> 00:57:47.000]  但实际上没有double buffer
[00:57:47.000 --> 00:57:49.000]  它其实就是说在编译流程里
[00:57:49.000 --> 00:57:50.000]  发现哪儿
[00:57:50.000 --> 00:57:52.000]  让编译器感觉到有疑虑
[00:57:52.000 --> 00:57:53.000]  所以说退出了
[00:57:53.000 --> 00:57:55.000]  但是它这个没给提示
[00:57:55.000 --> 00:57:56.000]  后边这个提示
[00:57:56.000 --> 00:57:58.000]  其实也会也会加上来
[00:58:00.000 --> 00:58:01.000]  那你好
[00:58:01.000 --> 00:58:03.000]  我问一下这个Auto 2
[00:58:03.000 --> 00:58:04.000]  它这个是
[00:58:04.000 --> 00:58:06.000]  它只是按照这个搜索空间
[00:58:06.000 --> 00:58:09.000]  都直接全部搜一遍呢
[00:58:09.000 --> 00:58:12.000]  还说内部有什么代价模型之类的
[00:58:12.000 --> 00:58:14.000]  去搜一遍
[00:58:14.000 --> 00:58:15.000]  预测呢
[00:58:15.000 --> 00:58:15.000]  就搜一遍
[00:58:15.000 --> 00:58:16.000]  就跑远的搜一遍
[00:58:16.000 --> 00:58:17.000]  对对对
[00:58:17.000 --> 00:58:18.000]  但是真跑
[00:58:19.000 --> 00:58:20.000]  好
[00:58:20.000 --> 00:58:21.000]  然后
[00:58:21.000 --> 00:58:25.000]  稍等
[00:58:25.000 --> 00:58:27.000]  你这个Auto 2
[00:58:27.000 --> 00:58:30.000]  是不是有点类似自动调参的一个感觉
[00:58:30.000 --> 00:58:31.000]  嗯
[00:58:31.000 --> 00:58:32.000]  对
[00:58:32.000 --> 00:58:34.000]  就是这个写法
[00:58:34.000 --> 00:58:35.000]  就是
[00:58:35.000 --> 00:58:37.000]  但我们需要给它的一个参数范围
[00:58:37.000 --> 00:58:39.000]  这个config列表是我们自己去给的
[00:58:40.000 --> 00:58:43.000]  也就像是它会在你给的这四个config里面
[00:58:43.000 --> 00:58:45.000]  然后找到一个性能自由的那个config
[00:58:45.000 --> 00:58:46.000]  给你返回来是吗
[00:58:46.000 --> 00:58:47.000]  对对对
[00:58:47.000 --> 00:58:48.000]  对对对
[00:58:48.000 --> 00:58:49.000]  我觉得它里边是一个benchmark的机制
[00:58:53.000 --> 00:58:56.000]  然后它就你可以开启一个选项
[00:58:56.000 --> 00:58:58.000]  它会等它选完
[00:58:58.000 --> 00:58:59.000]  它会可以给你打印出来
[00:58:59.000 --> 00:59:01.000]  告诉你它选了哪个参数
[00:59:03.000 --> 00:59:06.000]  那你这个和
[00:59:06.000 --> 00:59:07.000]  呃
[00:59:07.000 --> 00:59:10.000]  相当于是你这multibuffer是和这个autotonic是板定的是吧
[00:59:10.000 --> 00:59:11.000]  是只有它
[00:59:12.000 --> 00:59:13.000]  不绑定不绑定
[00:59:13.000 --> 00:59:16.000]  只说用这个方式可以控制
[00:59:17.000 --> 00:59:20.000]  那这个multibuffer是通用的选项吗
[00:59:20.000 --> 00:59:21.000]  还是说
[00:59:21.000 --> 00:59:23.000]  通用选项可以直接在这写出来
[00:59:23.000 --> 00:59:26.000]  就就就左右是二选一
[00:59:26.000 --> 00:59:27.000]  就你可以通过左边的控制
[00:59:27.000 --> 00:59:29.000]  也可以通过右边直接去控制
[00:59:31.000 --> 00:59:33.000]  通过右边这种方式控制的话
[00:59:33.000 --> 00:59:36.000]  它相当于是起了多流是吧
[00:59:36.000 --> 00:59:37.000]  这种感觉
[00:59:37.000 --> 00:59:38.000]  对对
[00:59:38.000 --> 00:59:39.000]  多个buffer
[00:59:39.000 --> 00:59:40.000]  对对对多buffer
[00:59:40.000 --> 00:59:41.000]  但其实这是默认开的
[00:59:41.000 --> 00:59:43.000]  只是说我们可以控制它关掉
[00:59:45.000 --> 00:59:50.000]  它开或不开的话会有什么区别吗
[00:59:50.000 --> 00:59:53.000]  是以性能换内存或者以内存换性能吗
[00:59:53.000 --> 00:59:54.000]  这种东西吗
[00:59:54.000 --> 00:59:55.000]  呃
[00:59:57.000 --> 01:00:00.000]  也不叫就是一个优化手段
[01:00:00.000 --> 01:00:01.000]  可以理解
[01:00:01.000 --> 01:00:03.000]  就是如果你开了是不是会内存占有会高一点
[01:00:03.000 --> 01:00:05.000]  但是性能可能会有收益
[01:00:05.000 --> 01:00:07.000]  但如果你不开的话可能内存会溅下来
[01:00:07.000 --> 01:00:09.000]  但是性能可能会烈化什么
